LinkedIn,Twitter,Facebook,Industry Groups,Number of Funding Rounds,Closed Date,Last Equity Funding Type,IPO Status,Organization Name,CB Rank (Company),Website,Total Funding Amount,Total Funding Amount Currency,Postal Code,Phone Number,Contact Email,Number of Exits,SEMrush - Global Traffic Rank,city,country,Regions,State,Founded Year 5+,Operating Status (Labeled),Company Type (Labeled),employees counts,Within One Year,Total Funding Amount Preprocessed
1,1,1,"Artificial Intelligence (AI), Blockchain and Cryptocurrency, Consumer Goods, Data and Analytics, Financial Services, Lending and Investments, Media and Entertainment, Other, Payments, Real Estate, Science and Engineering, Software, Transportation",0.0,0,0,0,Avenue Z,오,1,0.0,0,33137,0,1,0.0,오,,us,Greater Miami Area,Southern US,0,1,1,3.0,0,0
1,0,0,"Manufacturing, Science and Engineering, Transportation",1.0,0,Private Equity,0,Pursuit Aerospace,오,1,0.0,USD,0,0,0,0.0,오,,us,East Coast,Northeastern US,0,1,1,7.0,0,0
1,1,1,"Artificial Intelligence (AI), Blockchain and Cryptocurrency, Consumer Goods, Data and Analytics, Financial Services, Lending and Investments, Media and Entertainment, Other, Payments, Real Estate, Science and Engineering, Software, Transportation",0.0,0,0,0,Avenue Z,오,1,0.0,0,33137,0,1,0.0,오,,us,Greater Miami Area,Southern US,0,1,1,3.0,0,0
0,0,0,"Manufacturing, Science and Engineering, Transportation",2.0,0,Seed,0,Aerovolt,사,1,0.0,USD,0,0,1,0.0,일,,,Europe,and Africa (EMEA),0,1,1,1.0,1,0
1,1,1,"Education, Science and Engineering",0.0,0,0,0,Louno Space,오,1,0.0,0,0,0,1,0.0,일,,,Europe,and Africa (EMEA),0,1,1,1.0,0,0
1,0,0,"Science and Engineering, Sustainability",1.0,0,0,0,Estuaire,사,1,30000.0,EUR,75116,0,1,0.0,오,,,European Union (EU),and Africa (EMEA),0,1,1,1.0,1,0
1,1,0,"Biotechnology, Science and Engineering, Transportation",2.0,0,0,0,Prometheus Life Technologies,사,0,315959.0,USD,0,0,1,0.0,일,,,Europe,and Africa (EMEA),0,1,1,1.0,0,0
1,0,0,"Hardware, Manufacturing, Science and Engineering, Software, Transportation",0.0,0,0,0,Composite Vision,오,1,0.0,0,0,1,1,0.0,일,,,European Union (EU),and Africa (EMEA),0,1,1,1.0,0,0
1,1,0,"Artificial Intelligence (AI), Data and Analytics, Navigation and Mapping, Science and Engineering, Software",2.0,0,Seed,0,Amini,사,1,6000000.0,USD,0,0,0,0.0,오,new_york,us,Greater New York Area,Northeastern US,0,1,1,1.0,1,0
0,0,0,"Manufacturing, Science and Engineering",0.0,0,0,0,Surge Purchasing,오,1,0.0,0,92806,0,1,0.0,일,,us,Greater Los Angeles Area,Western US,0,1,1,5.0,0,0
1,1,0,"Data and Analytics, Information Technology, Science and Engineering, Software",1.0,0,Pre-Seed,0,Tilebox Inc.,사,1,1700000.0,USD,0,1,1,0.0,일,,us,East Coast,Northeastern US,0,1,1,1.0,1,0
1,1,1,"Artificial Intelligence (AI), Consumer Electronics, Consumer Goods, Data and Analytics, Hardware, Manufacturing, Navigation and Mapping, Privacy and Security, Science and Engineering, Software",2.0,0,Pre-Seed,0,YardDrone,사,1,800000.0,USD,110020,1,1,0.0,일,,,Asia-Pacific (APAC),Asia-Pacific (APAC),0,1,1,2.0,1,0
1,0,0,"Agriculture and Farming, Consumer Electronics, Consumer Goods, Hardware, Science and Engineering",1.0,0,Pre-Seed,0,Psyche Aerospace,사,1,250000.0,BRL,12238-565,1,1,0.0,일,,,Latin America,Latin America,0,1,1,2.0,0,0
1,1,1,"Data and Analytics, Hardware, Software, Transportation",1.0,0,Seed,0,FAWZ SPACE RESEARCH LIMITED,오,1,0.0,USD,0,1,1,0.0,일,,,Europe,and Africa (EMEA),0,1,1,2.0,1,0
0,1,0,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Government and Military, Information Technology, Lending and Investments, Real Estate, Science and Engineering, Software, Transportation",0.0,0,0,0,Atmos,오,1,0.0,0,0,0,1,0.0,일,,us,Greater Miami Area,Southern US,0,1,1,0.0,0,0
1,0,0,"Government and Military, Information Technology, Science and Engineering",1.0,0,Series A,0,Chaos,사,1,70000000.0,USD,0,0,1,0.0,일,,us,Greater Los Angeles Area,Western US,0,1,1,2.0,0,0
